frameworks,counts
0http,83
actframework,1053
activej,242
actix,1537
rack,235
aiohttp,331
aioworkers,241
akka-http,1122
aleph,275
amber,226
amp,247
anansi,629
angel3,1019
apidaora,366
appmpower,2349
archttp,74
armeria,485
asp.net core,4950
asp.net core [mvc],4950
asp.net core [middleware],4950
astra,135
async-worker,52
atreugo,476
axum,1587
none,167
bareasgi,192
beetlex,2173
ben,132
blacksheep,258
blade,387
blaze,560
bottle,406
cakephp,1367
carter,160
cask,99
cfml,433
chi,832
cinatra,135
clevergo,245
codeigniter,2822
coldbox,486
collie,313
colossus,108
comet,326
compojure,376
cpoll-cppsp,259
crax,161
cuehttp,85
curacao,208
cutelyst,2833
dia,111
ditsmod,541
django,397
donkey,111
drogon,2766
dropwizard,1232
duckphp,496
duct,485
easyrpc,598
echo,292
plug,459
elli,123
elysia,255
embedio,134
emmett,177
es4x,325
eve,105
evio,249
express,1120
facil.io,231
faf,150
falco,232
falcon,990
fastapi,836
fastendpoints,116
fastify,449
fat free,479
feathersjs,584
ffead-cpp,7872
fiber,505
finagle,113
finatra,101
finch,104
fintrospect,260
flask,725
flight,335
fortran.io,81
frank,208
fuel,7015
gearbox,429
gemini,675
genhttp,498
gin,591
gin-gorm,591
giraffe,296
gnet,138
go-std,1576
goev,167
goframe,447
goji,261
gotham,118
grails,2784
granian,535
grape,214
greenlightning,1188
grip,261
grizzly,992
libh2o,3370
h2o.cr,169
hapi,520
helidon,1374
hertz,415
hertz-gorm,415
hexagon,1434
hot,315
hserver,431
http.jl,197
http4k,1541
http4s,790
hug,73
hummingbird,363
hummingbirdcore,214
hyper,363
hyperexpress,896
ihp,421
imi,1080
inverno,788
isocket-nio,285
japronto,186
javalin,744
jawn,295
jersey,145
jester,81
jewelia,201
jooby,1108
just,338
kami,235
kemal,243
kit,378
klein,206
koa,403
kooby: jooby+kotlin,409
ktor,2004
kumbiaphp,737
lapis,384
laravel,1392
leaf,299
libhttpserver,105
libreactor,387
lithium,703
lucky,299
lumen,817
luminus,514
luxure,91
lwan,2143
magician,198
mako,465
mark,112
martian,168
martini,186
may-minihttp,359
microdot,594
microhttp,560
micronaut,2171
minijax,487
mixphp,881
mochiweb,193
mojolicious,172
morepath,387
mormot,1068
nancy,412
nestjs,833
netcoreserver,176
nette,398
netty,412
njs,83
stdlib,178
ningle,125
ninglex,157
ninja,582
nodejs,881
ntex,771
oatpp,432
officefloor,3253
ohkami,205
one,612
onyx,197
openresty,121
openswoole,619
padrino,269
pavex,277
pedestal,578
pekko-http,391
pellet,329
phalcon,909
phoenix,1121
php,2169
php-ngx,672
phpixie,359
pico.v,105
pippo,1367
plack,188
play1,286
play2,1442
plumber,147
polkadot,337
postgrest,228
prologue,71
proteus,1192
pyramid,393
quarkus,1339
quart,220
rack-sequel,603
racket,433
rails,538
rapidoid,450
rapidoid-http-fast,450
ratpack,763
raze,184
reactor,171
reactphp,208
redkale,918
reitit,222
restana,84
restify,85
revenj,693
revenj.jvm,474
ringo,354
roa,928
robyn,124
roda-sequel,530
ronykit,172
uvicorn,212
salvo,1820
saphir,415
scalene,155
scorper,93
servicestack-v6,152
servicetalk,214
silicon,277
silverlining,136
simple-server,219
simps,493
sinatra,509
sinatra-sequel,518
slim,647
solon,198
spark,434
spider-gazelle,218
spiral,543
spliffy,1919
spring,659
starlette,157
starlite,177
suave,91
suil,253
swi-prolog,238
swoole,512
symfony,1152
tapestry,587
tetsu,86
tio-mvc,518
toro,222
treefrog,2384
trillium,334
tuprolog,329
turbogears,213
ubiquity,1910
urweb,173
userver,1326
uwebsockets.js,340
valum,101
vapor,735
velocy,90
vert.x,955
vertx-web,611
vibed,619
vibora,201
viz,1002
voovan,188
vsgi,101
warp-rust,237
web2py,292
webgo,79
webmachine,317
webman,809
weppy,355
wicket,827
wizzardo-http,467
wizzardo-inline,874
wolff,382
woo,131
workerman,597
xitca-web,863
xpresso,197
yii2,562
youi,98
zebra,1590
zend,450
zio-http,109
zysocket-v,897
